ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
MSFT,4.6,46.8,1.62,3.59,1.91,16.3,14.12,23.8,3080.0,3,2019-07-31,2019-08-01,2019-08-05,3,140.49,134.23,133.3,4.46,-1.191,-5.12,-3.72,gap,70.6,1.9
TSM,12.2,53.8,1.94,4.42,5.69,8.35,2.52,23.1,277.0,2,2019-07-31,2019-08-01,2019-08-01,1,43.17,41.88,41.88,2.98,-1.044,-2.98,0.0,stop,34.4,1.3
STX,3.3,44.8,2.32,5.35,0.95,3.83,2.86,15.6,94.0,3,2019-07-31,2019-08-01,2019-08-02,2,47.55,45.65,42.22,4.01,-2.838,-11.21,-3.66,gap,59.0,1.6
AMAT,6.1,60.5,2.7,5.31,11.97,25.92,12.46,38.9,428.0,2,2019-07-31,2019-08-01,2019-08-05,3,50.59,46.11,46.11,8.85,-1.021,-8.85,-6.72,stop,66.2,1.9
CSCO,7.1,40.7,1.64,4.57,-1.0,9.18,10.28,12.7,789.0,2,2019-07-31,2019-08-01,2019-08-02,2,56.83,54.72,54.22,3.72,-1.279,-4.59,-2.94,gap,67.8,1.6
MRVL,0.4,36.3,3.13,12.37,-2.45,17.6,20.55,33.1,225.0,3,2019-08-05,2019-08-06,2019-08-22,13,24.5,23.38,24.8,4.59,0.16,1.22,-2.9,tiempo,69.2,4.9
MU,9.2,45.1,4.24,12.61,7.59,8.61,0.95,35.8,1404.0,2,2019-08-05,2019-08-06,2019-08-22,13,42.67,40.0,44.78,6.26,0.712,4.94,-4.62,tiempo,24.8,4.9
LITE,0.6,39.5,3.97,12.46,1.65,2.52,0.86,23.7,81.0,3,2019-08-05,2019-08-06,2019-08-22,13,52.83,49.76,58.72,5.81,1.624,11.15,-1.23,tiempo,41.5,4.9
GS,1.1,37.5,2.29,9.21,-0.49,1.84,2.33,30.6,557.0,3,2019-08-05,2019-08-06,2019-08-14,7,205.82,198.66,198.66,3.48,-1.089,-3.48,-3.29,stop,62.3,3.1
ASML,0.4,43.8,2.42,9.37,2.44,13.78,11.07,28.8,163.0,3,2019-08-05,2019-08-06,2019-08-14,7,216.42,208.72,208.72,3.56,-1.087,-3.56,-2.32,stop,72.8,3.1
TXN,1.6,43.8,2.69,10.03,1.64,10.15,8.38,34.5,701.0,3,2019-08-05,2019-08-06,2019-08-22,13,119.29,114.58,125.21,3.95,1.254,4.96,-1.89,tiempo,68.1,4.9
TSM,0.8,37.7,2.41,10.61,-1.5,1.27,2.82,21.0,304.0,3,2019-08-05,2019-08-06,2019-08-22,13,41.18,39.59,42.13,3.87,0.47,2.31,-2.26,tiempo,56.2,4.9
LMT,5.7,44.2,1.61,3.21,0.13,13.6,13.45,23.7,441.0,2,2019-08-05,2019-08-06,2019-08-22,13,361.28,349.66,385.88,3.22,1.656,6.81,-0.68,tiempo,68.5,4.9
LRCX,0.6,44.4,3.34,10.81,2.26,12.71,10.21,30.6,377.0,3,2019-08-05,2019-08-06,2019-08-22,13,19.88,18.91,21.05,4.88,1.105,5.89,-4.05,tiempo,65.5,4.9
META,36.0,36.0,2.89,9.94,-2.8,10.38,13.56,24.9,3528.0,2,2019-08-06,2019-08-07,2019-08-23,13,185.79,177.79,177.79,4.3,-1.114,-4.3,-3.49,stop,69.3,4.9
RACE,10.4,35.6,1.72,7.41,-1.65,19.25,21.25,27.5,65.0,3,2019-08-06,2019-08-07,2019-08-23,13,157.58,153.54,153.54,2.57,-1.191,-2.57,-2.21,stop,79.2,4.9
IBM,3.5,36.3,2.28,8.09,-0.85,4.65,5.55,30.3,693.0,3,2019-08-07,2019-08-08,2019-08-12,3,133.44,128.9,128.9,3.41,-1.056,-3.41,-3.03,stop,66.9,1.9
